COUNTRY	TOP 100	TOP 202	TOP 500	TOP 1000	TOP 5001	TOP 10006	ALL
United States of America	58	91	159	258	1041	2278	3257
United Kingdom	7	17	42	80	142	193	280
Australia	6	8	22	34	42	69	188
Canada	5	13	24	34	81	158	355
China	4	11	39	105	490	1403	2208
Germany	3	13	38	60	134	270	465
Netherlands	3	6	11	13	34	59	133
Switzerland	3	5	7	11	24	49	102
Denmark	2	3	5	6	9	19	76
Belgium	2	2	6	8	17	35	82
Hong Kong	1	4	6	6	13	15	21
Japan	1	3	13	26	268	459	980
Norway	1	2	4	4	23	34	50
Singapore	1	2	2	3	11	22	45
Brazil	1	1	7	20	177	299	1394
Taiwan	1	1	6	20	91	132	160
Finland	1	1	5	10	19	35	46
Sweden	 	5	9	11	30	38	46
Italy	 	4	17	42	77	111	239
Spain	 	2	10	30	83	114	261
South Korea	 	2	7	21	104	138	370
Israel	 	2	5	7	18	33	42
Austria	 	1	5	11	26	51	79
New Zealand	 	1	4	6	13	22	56
Czech Republic	 	1	3	5	21	32	80
Mexico	 	1	1	5	67	120	916
France	 	 	8	40	157	268	620
Portugal	 	 	6	6	38	54	116
South Africa	 	 	4	7	22	24	120
Poland	 	 	3	11	71	120	405
Greece	 	 	3	7	31	46	76
Ireland	 	 	3	6	17	30	71
Russian Federation	 	 	2	8	122	277	1172
Saudi Arabia	 	 	2	4	22	43	64
Argentina	 	 	2	3	45	73	116
Chile	 	 	2	3	37	47	146
Turkey	 	 	1	11	92	153	183
Iran	 	 	1	9	145	211	607
Malaysia	 	 	1	5	39	61	301
Hungary	 	 	1	4	15	30	68
Estonia	 	 	1	2	5	10	29
Belarus	 	 	1	1	9	27	57
Slovenia	 	 	1	1	5	8	40
Iceland	 	 	1	1	4	8	9
India	 	 	 	8	257	568	3944
Thailand	 	 	 	6	40	92	179
Colombia	 	 	 	4	56	110	289
Indonesia	 	 	 	2	68	216	2110
Romania	 	 	 	2	35	58	103
Egypt	 	 	 	1	32	38	64
Bulgaria	 	 	 	1	17	36	54
Slovakia	 	 	 	1	17	18	36
Lithuania	 	 	 	1	12	14	43
Lebanon	 	 	 	1	9	11	41
Costa Rica	 	 	 	1	8	11	59
Kenya	 	 	 	1	7	20	127
Croatia	 	 	 	1	6	12	50
Cyprus	 	 	 	1	6	9	26
Puerto Rico	 	 	 	1	5	13	39
Macao	 	 	 	1	5	7	10
Malta	 	 	 	1	1	2	4
Luxembourg	 	 	 	1	1	1	3
Pakistan	 	 	 	 	54	103	306
Algeria	 	 	 	 	32	45	103
Ukraine	 	 	 	 	31	115	326
Nigeria	 	 	 	 	26	62	253
Bangladesh	 	 	 	 	26	50	146
Ecuador	 	 	 	 	26	38	62
Viet Nam	 	 	 	 	18	
62
132
Jordan	 	 	 	 	17	25	37
Peru	 	 	 	 	16	39	182
United Arab Emirates	 	 	 	 	15	24	63
Iraq	 	 	 	 	13	24	93
Morocco	 	 	 	 	12	18	152
Venezuela	 	 	 	 	11	20	66
Sri Lanka	 	 	 	 	10	15	57
Philippines	 	 	 	 	9	35	266
Serbia	 	 	 	 	9	13	72
Tunisia	 	 	 	 	7	15	197
Palestina	 	 	 	 	7	11	24
Ethiopia	 	 	 	 	7	8	62
Cuba	 	 	 	 	6	16	28
Bosnia and Herzegovina	 	 	 	 	6	10	59
Uruguay	 	 	 	 	5	15	40
Latvia	 	 	 	 	5	12	52
Tanzania	 	 	 	 	5	12	52
Ghana	 	 	 	 	4	11	66
Bolivia	 	 	 	 	4	9	55
Kuwait	 	 	 	 	4	7	12
Oman	 	 	 	 	4	6	37
Guatemala	 	 	 	 	4	5	20
Kazakhstan	 	 	 	 	3	16	122
Sudan	 	 	 	 	3	12	52
Dominican Republic	 	 	 	 	3	9	40
Georgia	 	 	 	 	3	8	62
North Macedonia	 	 	 	 	3	8	20
Zimbabwe	 	 	 	 	3	8	15
Mongolia	 	 	 	 	3	5	50
Nepal	 	 	 	 	3	5	29
Cameroon	 	 	 	 	3	5	15
Qatar	 	 	 	 	3	4	9
Uganda	 	 	 	 	2	11	69
Albania	 	 	 	 	2	8	35
Nicaragua	 	 	 	 	2	7	42
El Salvador	 	 	 	 	2	7	38
Armenia	 	 	 	 	2	6	35
Libya	 	 	 	 	2	6	26
Moldova	 	 	 	 	2	6	26
Bahrain	 	 	 	 	2	5	14
International	 	 	 	 	2	5	7
Paraguay	 	 	 	 	2	4	38
Panama	 	 	 	 	2	4	27
Jamaica	 	 	 	 	2	3	22
Honduras	 	 	 	 	2	3	16
Brunei Darussalam	 	 	 	 	2	3	6
Namibia	 	 	 	 	2	2	5
Fiji	 	 	 	 	2	2	3
Uzbekistan	 	 	 	 	1	4	71
Azerbaijan	 	 	 	 	1	4	48
Yemen	 	 	 	 	1	4	47
Mozambique	 	 	 	 	1	4	9
Malawi	 	 	 	 	1	3	12
Trinidad and Tobago	 	 	 	 	1	3	12
Mauritius	 	 	 	 	1	3	9
Papua New Guinea	 	 	 	 	1	3	5
Senegal	 	 	 	 	1	2	29
Zambia	 	 	 	 	1	2	22
Burkina Faso	 	 	 	 	1	2	7
Botswana	 	 	 	 	1	2	7
Togo	 	 	 	 	1	2	4
Laos	 	 	 	 	1	2	3
Rwanda	 	 	 	 	1	1	21
Madagascar	 	 	 	 	1	1	12
Benin	 	 	 	 	1	1	10
Barbados	 	 	 	 	1	1	6
Dominica	 	 	 	 	1	1	3
Guam	 	 	 	 	1	1	3
Liechtenstein	 	 	 	 	1	1	3
Montenegro	 	 	 	 	1	1	3
Grenada	 	 	 	 	1	1	2
Swaziland	 	 	 	 	1	1	2
Faroe Islands	 	 	 	 	1	1	1
French Polynesia	 	 	 	 	1	1	1
San Marino	 	 	 	 	1	1	1
Virgin Islands, US	 	 	 	 	1	1	1
Syria	 	 	 	 	 	6	32
Cambodia	 	 	 	 	 	4	55
Kyrgyzstan	 	 	 	 	 	3	38
Somalia	 	 	 	 	 	2	66
Belize	 	 	 	 	 	2	5
Afghanistan	 	 	 	 	 	1	88
Myanmar	 	 	 	 	 	1	43
Angola	 	 	 	 	 	1	21
Haiti	 	 	 	 	 	1	15
Congo, (Kinshasa)	 	 	 	 	 	1	14
Côte d'Ivoire	 	 	 	 	 	1	12
Bhutan	 	 	 	 	 	1	9
Guyana	 	 	 	 	 	1	8
Saint Kitts and Nevis	 	 	 	 	 	1	7
Cape Verde	 	 	 	 	 	1	6
Cayman Islands 	 	 	 	 	 	1	5
Burundi	 	 	 	 	 	1	4
Suriname	 	 	 	 	 	1	3
Antigua and Barbuda	 	 	 	 	 	1	2
Bahamas	 	 	 	 	 	1	2
Lesotho	 	 	 	 	 	1	2
Seychelles	 	 	 	 	 	1	2
Samoa	 	 	 	 	 	1	2
Andorra	 	 	 	 	 	1	1
Anguilla	 	 	 	 	 	1	1
American Samoa	 	 	 	 	 	1	1
Bonaire, Sint Eustatius and Saba	 	 	 	 	1	1
Micronesia	 	 	 	 	 	1	1
Greenland	 	 	 	 	 	1	1
Monaco	 	 	 	 	 	1	1
Niger	 	 	 	 	 	1	1
Tajikistan	 	 	 	 	 	 	27
Saint Lucia	 	 	 	 	 	 	7
Curaçao	 	 	 	 	 	 	6
Gabon	 	 	 	 	 	 	6
Sierra Leone	 	 	 	 	 	 	5
Timor-Leste	 	 	 	 	 	 	5
Liberia	 	 	 	 	 	 	4
Mali	 	 	 	 	 	 	4
Mauritania	 	 	 	 	 	 	4
Maldives	 	 	 	 	 	 	4
South Sudan	 	 	 	 	 	 	4
Aruba	 	 	 	 	 	 	3
Gambia	 	 	 	 	 	 	3
Guinea	 	 	 	 	 	 	3
Congo (Brazzaville)	 	 	 	 	 	 	2
Montserrat	 	 	 	 	 	 	2
Saint Vincent and Grenadines	 	 	 	 	 	2
Bermuda	 	 	 	 	 	 	1
Central African Republic	 	 	 	 	 	 	1
Djibouti	 	 	 	 	 	 	1
Eritrea	 	 	 	 	 	 	1
French Guiana	 	 	 	 	 	 	1
Equatorial Guinea	 	 	 	 	 	 	1
Isle of Man 	 	 	 	 	 	 	1
North Korea	 	 	 	 	 	 	1
Marshall Islands	 	 	 	 	 	 	1
Northern Mariana Islands	 	 	 	 	 	 	1
Niue 	 	 	 	 	 	 	1
Palau	 	 	 	 	 	 	1
Solomon Islands	 	 	 	 	 	 	1
Sint Maarten (Dutch part)	 	 	 	 	 	 	1
Tonga	 	 	 	 	 	 	1
British Virgin Islands	 	 	 	 	 	 	1
Vanuatu	 	 	 	 	 	 	1
Other	 	 	 	 	5	8	11
TOTAL	100	202	500	1000	5001	10006	28077